d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
Ricardo Gomes,Local Guide,2 reseñas,Hace 4 años,Nueva,la empresa no entregó el producto. hice mi compra a través de la web de americanas hace 15 días y me cancelaron el pedido porque no me van a poder entregar el producto. ¡hasta ahora no he recibido mi dinero de vuelta!…,Me gusta,
Jonathas Camargo,Local Guide,1 reseña,Hace 2 años,Nueva,"olist era una basura de una empresa, realicé una compra a través del submarino, con olist como socio, además de ser largo el tiempo de entrega, llegó la fecha que fue el 27/05/2020, y hasta el momento no ha sido…",Me gusta,
Ferrugem FPS,Local Guide,1 reseña,Hace un año,Nueva,"horrible, mi pedido fue entregado pero aún no ha llegado

(original)…",,Me gusta
katherin gonçalves,Local Guide,2 reseñas,Hace 4 años,Nueva,¡¡¡horrible!!! hice mi primera compra por los americanos hace 1 mes y hasta el momento no ha llegado la mercadería y las tiendas americanas me dijeron que la empresa olist no da devolución.…,,Me gusta
Tilly Greboge,Local Guide,21 reseñas,Hace 2 años,Nueva,"estoy a la espera de la respuesta de un protocolo de 2520042939055 y no responden a mí. oh, ya veo innumerables comentarios que la gente se están pasando al revés. ¿es eso? voy a ser pasado al revés? cade mi…",Me gusta,
adriana araujo,Local Guide,1 reseña,Hace un año,Nueva,"no entrega el producto a tiempo, cambia la fecha de entrega sin avisar al cliente.…",,Me gusta
camila roberta,Local Guide,3 reseñas,Hace 4 años,Nueva,"una empresa que hace muy difícil la relación entre sus usuarios. no existe una automatización para categorizar los productos, debe hacerlo uno por uno, lo que lleva mucho tiempo para quienes están en la plataforma…",Me gusta,
Juscélia Marques,Local Guide,5 reseñas,Hace 3 años,Nueva,"hice una compra en el sitio de la american y el producto es entregado por este proveedor olist en el que nunca recibió el producto, se enciende el teléfono nadie responde a la propia americano no puede ponerse en…",,Me gusta
nathan mezacasa,Local Guide,7 reseñas,Hace un año,Nueva,"mala experiencia en 2 compras. no lo indico en absoluto.

(original)…",,Me gusta
Marco Falcão,Local Guide,· 15 reseñas,Hace 3 años,Nueva,apoyo y asistencia 0 para que el franquiciado cierre contigo hasta que el presidente te llame para solucionar problemas.…,Me gusta,
Karina Salem,Local Guide,· 49 reseñas,Hace 2 años,Nueva,"cobran un precio de envío absurdamente por encima de correos, no lo recomiendo y no haré la compra.…",,Me gusta
Brandon Dias,Local Guide,· 30 reseñas,Hace 3 años,Nueva,"llevamos 2 años vendiendo en olist y nunca hemos tenido un mal servicio como el de penélope, que no respondió con transparencia a nuestra petición. esperaba gente preparada para esta vocación.…",Me gusta,
Elisa Oliveira,Local Guide,5 reseñas,Hace 2 años,Nueva,"terrible, mi primera compra en el sitio web de shoptime y probablemente la última. pagué por dos productos y recibí solo uno.…",Me gusta,
Rixi Peer,Local Guide,4 reseñas,Hace 2 años,Nueva,"como tal, una empresa ni siquiera tiene un número para llamar. ¿qué pasa con el servicio al cliente? pffff creo que brasil no está listo para el mercado en línea.…",Me gusta,
TaTiane Andrade,Local Guide,1 reseña,Hace un año,Nueva,"no me gustó, quería el rojo como el de la foto, vino el blanco. no lo recomiendo…",,Me gusta
paulo souza,Local Guide,1 reseña,Hace 2 años,Nueva,"nada bueno porque el dispositivo no es bueno y necesito hablar con ustedes, tienen un problema, no pude usarlo hasta ahora…",,Me gusta
João E Paloma Santos,Local Guide,1 reseña,Hace 2 años,Nueva,mi compra no viene con los accesorios descritos. he estado tratando de contactarme desde el 29/05/2020 y nadie regresa.…,,Me gusta
Fabio Freire,Local Guide,1 reseña,Hace un año,Nueva,"la compañía en bancarrota nunca entrega, ¡solo mire su anuncio aquí!…",Me gusta,
Wagner Rufino,Local Guide,3 reseñas,Hace un año,Nueva,¡¡¡horrible!!! me entregaron mi silla con todos los tornillos faltantes...…,,Me gusta
Willian Ribeiro,Local Guide,6 reseñas,Hace 2 años,Nueva,"compra realizada en el estadounidense en 10/04, hasta hoy no fue enviada y tampoco responden nada. corre que está atrapado.…",,Me gusta
alessandra vanessa pereira,Local Guide,4 reseñas,Hace 3 años,Nueva,"mala experiencia, compré el producto que no enviaron, el pago fue aprobado, no responden los correos electrónicos…",,Me gusta
Márcio Galdino,Local Guide,1 reseña,Hace 2 años,Nueva,"muy poco atendido. no publiqué los productos a tiempo, tuve que dar varias quejas.…",Me gusta,
Maicon Lima,Local Guide,1 reseña,Hace un año,Nueva,no me gustó dejé mi pedido en el buzón y no me llamaron no me gustó...…,,Me gusta
Alexander Silva,Local Guide,1 reseña,Hace 3 años,Nueva,lo peor de todo la gente no compre con esta empresa olist no cumplen lo prometido ninguna entrega ya son 2 meses y nada es un total absurdo un desprecio por el cliente no compre con esta empresa olist se arrepentira…,Me gusta,
Denise Sampaio Magalhaes,Local Guide,19 reseñas,Hace un año,Nueva,"leer las reseñas sirvió para desistir de la compra. algunos hacen grandes cumplidos, pero deben ser amigos de olist.…",,Me gusta
Noiran Khouri Delpin,Local Guide,3 reseñas,Hace un año,Nueva,venden y no entregan el producto. no hay nadie con quien hablar tbh.…,Me gusta,
Raimundo Peres Oliveira,Local Guide,2 reseñas,Hace un año,Nueva,pedí la información de un producto y han pasado 2 semanas y nada…,,Me gusta
Jel Eletronica,Local Guide,50 reseñas,Hace 2 años,Nueva,muy mal servicio al cliente. es una lucha para resolver cualquier tipo de problema. la mayoría de las veces es un juego de tira y afloja y cada respuesta toma 1 día después. completamente insatisfecho…,Me gusta,
Fernando Gonçalves Dico,Local Guide,1 reseña,Hace 2 años,Nueva,comprado por extra con entrega por olist. pasó el plazo de más de 15 días y ni siquiera lo enviaron al transportista. salir. hackear.…,,Me gusta
Lucca Rebecchi,Local Guide,· 38 reseñas,Hace 9 meses,Nueva,"terrible, no recomiendo vender ni comprar por la olist.

(original)…",,Me gusta
Natália Magalhães Sales,Local Guide,2 reseñas,Hace 3 años,Nueva,"compré un producto que no me convenía, contacté oportunamente para devolverlo y hasta el día de hoy no he recibido el código de devolución. no vuelven al cliente.…",,Me gusta
Caroline maria dos Santos,Local Guide,4 reseñas,Hace 2 años,Nueva,"la mala compañía no cumple, no entrega el producto, dice que la entrega del servicio de mensajería no se ajusta a una dirección peor y casas bahía que acepta un socio como este no responde correos electrónicos…",,Me gusta
Thais Pinheiro,Local Guide,8 reseñas,Hace 2 años,Nueva,"pésimo, credo.
he cancelado un producto y todavía no han hecho un reembolso. tampoco se molestan en responder.…",Me gusta,
Sidnei Avelino,Local Guide,· 48 reseñas,Hace un año,Nueva,falló el producto... hice contacto por msj y me contestaron con msj automático sin conexión…,,Me gusta
Lucineide Barbosa,Local Guide,1 reseña,Hace un año,Nueva,lástima que hice la compra y el pago sigue siendo yo comprando.…,Me gusta,
Rafael Roza,Local Guide,2 reseñas,Hace 6 meses,Nueva,"hack company, robó una imagen de mi autoría para uso propio en un anuncio sin mi autorización!!!!!!…",Me gusta,
Sandra Pereira,Local Guide,2 reseñas,Hace 2 años,Nueva,"terrible, en la web dice que ayer recibí mi pedido y no me ha llegado nada, difícil contactar con esta empresa olist, nunca más volveré a comprar a esta empresa.…",Me gusta,
adrilandio silva,Local Guide,1 reseña,Hace un año,Nueva,"terrible, compré un producto, no entregaron y no dieron satisfacción.…",,Me gusta
Eduardo Couto,Local Guide,9 reseñas,Hace 2 años,Nueva,"mala compra, publicitan productos que no tienen en stock, envían productos diferentes a lo comprado.…",,Me gusta
Thays Rocha,Local Guide,· 14 reseñas,Hace 2 años,Nueva,mala empresa tengo un problema y no lo resuelven no devuelven el dinero después de la venta de esta empresa.…,,Me gusta
Carla Souza,Local Guide,17 reseñas,Hace 4 años,Nueva,"no puedo enviar factura a través de la plataforma, nadie te ayuda, pésimo soporte. tonta como pueden actuar asi, las ventas estan bloqueadas y nadie hace nada, lo siento…",,Me gusta
GUILHERME BURGER,Local Guide,1 reseña,Hace un año,Nueva,"terrible, el producto fue entregado defectuoso!!!

(original)…",,Me gusta
Fernando Molina,Local Guide,· 26 reseñas,Hace 3 años,Nueva,"mala experiencia, no cumplieron con el plazo, no contestan mensajes, no informan nuevo plazo de entrega. en definitiva, ¡no se lo recomiendo a nadie!…",,Me gusta
NATHALIA NATY,Local Guide,1 reseña,Hace 3 años,Nueva,"traté de conocer la plataforma, pero como trabajo con ventas, a veces es difícil contestar el teléfono, y luego cuando le informé esto a la persona que me atendió, ella fue súper grosera y me colgó el teléfono. pésimo…",,Me gusta
Alice Sa,Local Guide,6 reseñas,Hace un año,Nueva,mala compañia lo compre no llego y nunca me devuelven el dinero…,,Me gusta
Jayme P.,Local Guide,2 reseñas,Hace 2 años,Nueva,"compré un producto a través de olist, es hasta hoy, pero durante un mes no recibí nada y tampoco me devolvieron el dinero. no compre en este sitio. se pasa olist…",Me gusta,
Theodoro Chamarelli,Local Guide,· 14 reseñas,Hace 2 años,Nueva,enviaron mal mi pedido. pedí un perro rectangular me enviaron uno redondo y en mercado libre no responden.…,,Me gusta
Alexandre Patricio,Local Guide,1 reseña,Hace 2 años,Nueva,"lo compre a través de la web de americanas eia 04/04 y hasta hoy 16/05 no lo he recibido, no lo compre.…",,Me gusta
Hudson Righetto,Local Guide,9 reseñas,Hace 3 años,Nueva,mala experiencia de compra. producto erróneo entregado y extrema demora en solucionar el problema.…,,Me gusta
Gustavo Domingues,Local Guide,2 reseñas,Hace 2 años,Nueva,me vendieron un producto falsificado y me lo pusieron difícil para devolverlo hasta pasado el plazo máximo para ello.…,,Me gusta
Wésley Domingues Ferreira,Local Guide,1 reseña,Hace 11 meses,Nueva,"muy mal servicio, llego tarde, no me gusto

(original)…",,Me gusta
Mauro Woiciekoski,Local Guide,· 42 reseñas,Hace 2 años,Nueva,"pésima empresa, trata a sus clientes con negligencia, orientación incorrecta, empleados sin preparación, hasta ahora solo decepción.…",Me gusta,
ANDRÉ DE CAMPOS JORGE,Local Guide,3 reseñas,Hace 4 años,Nueva,"la empresa no es seria!!! salgan mientras no paguen el semestre, porque después de un gran desgaste con ellos de enviar un anuncio, tardar días para revisar, vuelven con cambios sin pie ni mente...y cuando se pierde…",Me gusta,
Paulo Belmiro,Local Guide,3 reseñas,Hace 2 años,Nueva,"buenas tardes, compre su producto hace 15 dias y dejo de funcionar jugando, que debo hacer?…",,Me gusta
Vanessa Cunha Parreiras Carvalho,Local Guide,1 reseña,Hace 2 años,Nueva,"el dispositivo es muy ruidoso... insatisfecho con el producto.
y sin devolución por parte del vendedor.…",,Me gusta
Lais Lay,Local Guide,1 reseña,Hace un año,Nueva,"alguien tiene su numero de telefono??
¡necesito contactarlos lo antes posible!…",,Me gusta
robson marcelo,Local Guide,· 10 reseñas,Hace 3 años,Nueva,"empresa no contesta apertura de llamada... celular, ni mail para soporte llevo mas de 36 horas intentando sacar una etiqueta postal y no me contestan. no hay asistente para resolverlo... no estoy satisfecho…",Me gusta,
Caio Rodrigues,Local Guide,1 reseña,Hace 2 años,Nueva,"lo compré en submarino, ¡hace una semana se suponía que debían entregar el producto y ni siquiera quieren responderme!…",Me gusta,
Dario Sbrana,Local Guide,2 reseñas,Hace 2 años,Nueva,"hice una compra a través del submarino, no entregaron y no responden ni devuelven el dinero, huir de esta empresa…",,Me gusta
Elza Barreto,Local Guide,· 27 reseñas,Hace un año,Nueva,"el producto dejaba algo que desear, el acero inoxidable es muy
chiquito, parece aluminio!!!!!�…",,Me gusta
Vitor Azevedo,Local Guide,21 reseñas,Hace 3 años,Nueva,soy un cliente el soporte no lee los tickets y no los devuelve. cuando vuelven tardan más de 4 días. pago demasiado y no recibo el servicio adecuado.…,Me gusta,
Flávia Chieregato,Local Guide,1 reseña,Hace un año,Nueva,"dispositivo demasiado pesado, ¡dos meses de uso dejaron de funcionar!…",,Me gusta
Fernando Souza,Local Guide,· 3 reseñas,Hace un año,Nueva,"no seas tonto con esta empresa, su lema es dañar al consumidor.…",,Me gusta
Maurício Tonizza,Local Guide,· 34 reseñas,Hace un año,Nueva,el envío tarda demasiado y aún así envía el producto equivocado.…,,Me gusta
Joselito Romualdo Hencotte,Local Guide,1 reseña,Hace 3 años,Nueva,una verdadera trampa. antes de cerrar el trato llaman constantemente y luego ni siquiera contestan por whatsapp. mal servicio al cliente. empresa no confiable!!!!…,Me gusta,
Guilherme,Local Guide,2 reseñas,Hace 3 años,Nueva,"iba a hacer una compra, pero como siempre investigo antes y viendo los comentarios, no la haré más. gracias a las personas que comentan…",Me gusta,
Silmara Corá,Local Guide,1 reseña,Hace 2 años,Nueva,"compré dora y el mono, solo recibí a dora, el mono no vino, envié msg y no responden…",,Me gusta
Contato Boorala,Local Guide,1 reseña,Hace 3 años,Nueva,"no prestan atención, tardan demasiado en atender una llamada abierta,
cuando respondes no sirve, cuando lo veo tengo que fijarme en los valores porque…",Me gusta,
Laercio Lopes,Local Guide,3 reseñas,Hace un año,Nueva,"basura. cancelaron mi pedido y era urgente.

(original)…",,Me gusta
Igor Henrique,Local Guide,1 reseña,Hace un año,Nueva,horrible gran servicio sin servicio de bloques de soporte a través de whatsapp no ​​lo recomiendo…,,Me gusta
Erica Aparecida,Local Guide,3 reseñas,Hace 3 años,Nueva,terrible compre un producto me lo envian a otra direccion y hasta ahora nadie me ha solucionado el problema…,Me gusta,
Leão,Local Guide,4 reseñas,Hace 3 años,Nueva,"compré un ocio en la tienda y recibí un auricular en mi dirección. mal servicio. olist nunca responde.
primera y última compra !!!…",,Me gusta
Margarete Andrade e Silva,Local Guide,1 reseña,Hace un año,Nueva,un inconveniente que no recibí la mercancía y no me reembolsaron…,Me gusta,
Rodrigo Bonfante,Local Guide,1 reseña,Hace 2 años,Nueva,"chicos, buenas tardes.

compré un medidor de ph que vino con un defecto, ¿cómo lo cambio?…",Me gusta,
